Name,Category,Current Goal,Dedicated To,Location,Organization,State,Subcategory,Type,Visibility
Prismatic Shroud,KNOWN,,Arcus,,Invictian Organization,,The Occult,Crime Syndicate,
The Dawnfire Alchemists,KNOWN,,Aurora,Ephelanum City,Invictian Organization,,The Virtuous,Guild (Apothecaries),
Masque of Eternal Revelry,UNKNOWN,,Bacchus,,Invictian Organization,,The Occult,Secret Society,
The Obsidian Phalanx,KNOWN,,Bellona,,Invictian Organization,,The Impartial,Military Order,
Celestial Astromancers,KNOWN,,Caelus,,Invictian Organization,,The Virtuous,Magical Society,
Golden Harvest Covenant,KNOWN,,Ceres,,Invictian Organization,,The Virtuous,Guild (Farmers),
Accord of Infinite Wisdom,KNOWN,,Concordia,,Invictian Organization,,The Virtuous,Philosophical Circle,
Verdant Sentinel Order,KNOWN,,Diana,"Ephelanum City, Forest",Invictian Organization,,The Virtuous,Military Order,
Silent Stalkers of the Glade,KNOWN,,Faunus,,Invictian Organization,,The Impartial,Guild (Hunters),
Everbloom Circle,KNOWN,,Flora,,Invictian Organization,,The Virtuous,Magical Society,
Gatekeepers of the Eternal Threshold,UNKNOWN,,Janus,,Invictian Organization,,The Occult,Secret Society,
Stormlord Vanguard,KNOWN,,Jupiter,,Invictian Organization,,The Impartial,Military Order,
Oathbound Sanctum,KNOWN,,Juno,,Invictian Organization,,The Virtuous,Religious Order,
Crimson Warlords,KNOWN,,Mars,,Invictian Organization,,The Impartial,Military Order,
Artisan's Forge of Wonders,KNOWN,,Minerva,,Invictian Organization,,The Virtuous,Magical Society,
Scales of Eternal Justice,KNOWN,,Nemesis,,Invictian Organization,,The Impartial,Philosophical Circle,
Abyssal Tideguard,KNOWN,,Neptune,,Invictian Organization,,The Impartial,Military Order,
Luminous Arcanists,KNOWN,,Phoebus,Unknown,Invictian Organization,,The Virtuous,Magical Society,
Harvestwrights' Guild,KNOWN,,Pomona,,Invictian Organization,,The Virtuous,Guild (Farmers),
Shadowhand Collective,UNKNOWN,,Pluto,,Invictian Organization,,The Occult,Secret Society,
Cycle of the Eternal Bloom,KNOWN,,Proserpina,,Invictian Organization,,The Virtuous,Religious Order,
Watchers of the Eternal Rest,KNOWN,,Senectus,,Invictian Organization,,The Impartial,Philosophical Circle,
Arcane Veil of Mysteries,UNKNOWN,,Trivia,,Invictian Organization,,The Occult,Secret Society,
Radiant Heartwardens,KNOWN,,"Asclepius ",Duneforged Citadel,Invictian Organization,,The Virtuous,Religious Order,
Seekers of Eternal Truth,KNOWN,,Veritas,,Invictian Organization,,The Virtuous,Philosophical Circle,
Triumphant Vanguard of Glory,KNOWN,,Victoria,Romulo City,Invictian Organization,,The Virtuous,Military Order,
Ironclad Legion,KNOWN,,Vis,,Invictian Organization,,The Impartial,Military Order,
Forgeflame Artisans,KNOWN,,Vulcan,,Hellenorian Organization,,The Virtuous,Guild (Smiths),
Luminastra Alchemists,KNOWN,,Apollo,,Hellenorian Organization,,The Virtuous,Guild (Apothecaries),
The Crimson Sigil of the Shattered Spear,KNOWN,,Ares,,Hellenorian Organization,,The Impartial,Military Order,
The Ecliptica Arcanum,KNOWN,,Athena,,Hellenorian Organization,,The Virtuous,Magical Society,
The Golden Scythe Accord,KNOWN,,Demeter,,Hellenorian Organization,,The Virtuous,Guild (Farmers),
The Obsidian Masquerade,UNKNOWN,,Dionysus,,Hellenorian Organization,,The Occult,Secret Society,
Emberforge Collective,KNOWN,,Hephaestus,,Invictian Organization,,The Virtuous,Guild (Smiths),
The Matriarch's Loom of Bonds,KNOWN,,Hera,,Hellenorian Organization,,The Impartial,Family/Tribe,
The Hearthfire Sanctum,KNOWN,,Hestia,,Hellenorian Organization,,The Virtuous,Religious Order,
The Nightweaver Syndicate,UNKNOWN,,Nyx,,Hellenorian Organization,,The Occult,Secret Society,
Primalhorn Kin,KNOWN,,Pan,,Hellenorian Organization,,The Impartial,Family/Tribe,
Geolith Artisan Covenant,KNOWN,,Terra,,Hellenorian Organization,,The Virtuous,Guild (Masons),
Fate's Spindle Circle,KNOWN,,Tyche,,Hellenorian Organization,,The Impartial,Philosophical Circle,
The Tempest Wrath Conclave,KNOWN,,Zeus,,Hellenorian Organization,,The Impartial,Military Order,
The Lion's Mane Vanguard,KNOWN,,Hajama,,Acheaorian Organization,,The Impartial,Military Order,
The River's Embrace,KNOWN,,Shajar,,Acheaorian Organization,,The Virtuous,Religious Order,
The Ironclad Oath,KNOWN,,Vatagatal,,Acheaorian Organization,,The Impartial,Military Order,
The Stormcallers' Choir,KNOWN,,Drummern and Pag,,Acheaorian Organization,,The Impartial,Magical Society,
Benevolent Hands,KNOWN,,Jarmik,,Acheaorian Organization,,The Virtuous,Guild (Charity),
The Exiled Wanderers,KNOWN,,The Lost One,,Acheaorian Organization,,The Impartial,Family/Tribe,
The Sage's Archive,KNOWN,,Kor,,Acheaorian Organization,,The Virtuous,Magical Society,
Bountiful Harvesters,KNOWN,,Jisan,,Acheaorian Organization,,The Virtuous,Guild (Farmers),
Gilded Vault,KNOWN,,Jauhar,,Acheaorian Organization,,The Impartial,Guild (Merchants),
The Undying Legion,UNKNOWN,,Thasmudayan,,Acheaorian Organization,,The Occult,Secret Society,
The Savage Pack,KNOWN,,Beast,,Acheaorian Organization,,The Impartial,Family/Tribe,
Predator's Guild,KNOWN,,Kiga,,Acheaorian Organization,,The Impartial,Guild (Hunters),
The Shadow Court,UNKNOWN,,Lotha,,Acheaorian Organization,,The Occult,Secret Society,
The Enchanted Muse,KNOWN,,Selan,,Acheaorian Organization,,The Virtuous,Magical Society,
The Illuminated Scholars,KNOWN,,Zann,,Acheaorian Organization,,The Virtuous,Magical Society,
Melodic Circle,KNOWN,,Bala,,Acheaorian Organization,,The Virtuous,Guild (Bards),
Forge of the Creators,UNKNOWN,,Ophion,,Titanic Organization,,The Virtuous,Secret Society," Titan of Creation"
Circle of the Timeless Veil,UNKNOWN,,Ostasus,,Titanic Organization,,The Impartial,Secret Society," The Timer"
Flame of the Sacrificed,UNKNOWN,,Prometheus,,Titanic Organization,,The Virtuous,Secret Society," The Sacrificed Creator"
Syndicate of the Justicar,UNKNOWN,,Themis,,Titanic Organization,,The Impartial,Secret Society," Titan of Justice"
Opus Dei Orientis,UNKNOWN,To uncover hidden spiritual truths and guide followers toward enlightenment.,Spiritual Enlightenment,,Continental Organization,,The Occult,Secret Society,Hidden
The Circle of the Whispering Leaves,KNOWN,To protect sacred groves and promote harmony between mortals and nature.,Nature and Harmony,,Continental Organization,,The Virtuous,Religious Order,Visible
The Sanctuary of the Silver Veil,KNOWN,To preserve and study ancient magical texts and rituals.,Arcane Knowledge,,Continental Organization,,The Occult,Magical Society,Hidden
The Whispering Eyes,UNKNOWN,To gather and protect secrets that could unravel reality.,Forbidden Knowledge,,Continental Organization,,The Occult,Secret Society,Hidden
The Veiled Caste,KNOWN,To manipulate political and social structures from the shadows.,Secrecy and Power,,Continental Organization,,The Impartial,Philosophical Circle,Visible
Eleusinian Mysteries,KNOWN,To guide initiates through rituals of death and rebirth for spiritual awakening.,Spiritual Rebirth,,Continental Organization,,The Virtuous,Religious Order,Visible
Mithradaic Cult,KNOWN,To foster loyalty and strength among its members through sacred rites.,Strength and Brotherhood,,Continental Organization,,The Virtuous,Religious Order,Visible
Gallienain Cult,UNKNOWN,To master the art of alchemy and unlock the secrets of immortality.,Forbidden Alchemy,,Continental Organization,,The Occult,Secret Society,Hidden
The Collegium of the Sacred Sight,KNOWN,To train seers and prophets to guide the future of the world.,Divination and Prophecy,,Continental Organization,,The Virtuous,Magical Society,Visible
The Chyrsus Syndicate,KNOWN,To control trade routes and amass wealth for their mysterious patrons.,Wealth and Influence,,Continental Organization,,The Impartial,Guild (Merchants),Visible
Order of the Silver Flame,KNOWN,,Concordia,Unknown,Invictian Organization,,The Virtuous,Fighters,
College of the Starlit Lute,UNKNOWN,,Pomona,,Invictian Organization,,The Virtuous,Bardic Colleges,
The Order of Morning's Rise,KNOWN,,Nike,Aeterna City,Invictian Organization,,The Virtuous,Mercenary Company,
The Order of Morning's Rise,KNOWN,,Nemesis,,Invictian Organization,,The Impartial,Banking,
Caravan of the Gilded Horizon,KNOWN,,Mercury,,Invictian Organization,,The Impartial,Merchant,
Aurum Pact,KNOWN,,Febris,,Invictian Organization,,The Impartial,Merchant,
Thorned Eye Cabal,UNKNOWN,,Cupid,,Invictian Organization,,The Occult,Assasins,
Sable Codes Circle,UNKNOWN,,Phoebus,,Invictian Organization,,The Occult,Magical Society,
Crimson Pact,KNOWN,,Nyx,,"Hellenorian Organization, Invictian Organization",,The Occult,Assasins,
Tenebral Covenant,UNKNOWN,,Nyx,,"Hellenorian Organization, Invictian Organization",,The Occult,Thieves,
Sunward Valiants,KNOWN,,Hermes,,Hellenorian Organization,,The Virtuous,Mercenary Company,
Ivory Chorus,KNOWN,,Aphrodite,,Hellenorian Organization,,The Virtuous,Bardic College,
Circle of the Eternal Grove,UNKNOWN,,Demeter,,Hellenorian Organization,,The Impartial,Druidic Circle,
Tranquil Hand Enclave,KNOWN,,Terra,,"Hellenorian Organization, Invictian Organization",,The Impartial,Druidic Circle,
The Eclipsed Mirror,UNKNOWN,,Hecate,,Hellenorian Organization,,The Occult,Magical Sociery,
Obsidian Veins,KNOWN,,Dionysus,,Hellenorian Organization,,The Occult,Magical Sociery,
Lanterns of Justice,KNOWN,,Hakiyah,,Acheaorian Organization,,The Virtuous,Fighters,
Scribes of the Infinite Ledger,KNOWN,,Zann,,Acheaorian Organization,,The Impartial,Merchants,
Vaults of Equilibrium,KNOWN,,Bala,,Acheaorian Organization,,The Impartial,Banking,
Wheelwalkers,KNOWN,,Jauhar,,Acheaorian Organization,,The Impartial,Merchants,
Cult of Whispering Roots,UNKNOWN,,The Exiled,,Acheaorian Organization,,The Occult,Druidic Circle,
Veilborn Syndicate,UNKNOWN,,Lotha,,Acheaorian Organization,,The Occult,Thieves,
Hammer of Lumina,UNKNOWN,,Helios,,Titanic Organization,,The Virtuous,Forging,
Guild of the Emerald Sigil,UNKNOWN,,Adamus,,Titanic Organization,,The Virtuous,Artisans,
Children of the Sacred Forge,UNKNOWN,,Hyperion,,Titanic Organization,,The Virtuous,Artisans,
Verdant Spearhold,UNKNOWN,,Selene,,Titanic Organization,,The Virtuous,Fighters/Mercenary,
Covenant of the Equinox,UNKNOWN,,Eos,,Titanic Organization,,The Impartial,Druidic Circle,
Cult of Nyzzoth,UNKNOWN,,Gigantes,,Titanic Organization,,The Occult,Unknown Cult,
The Howling Bell,UNKNOWN,,Selene,,Titanic Organization,,The Occult,Bardic College,
"Mother of Corruption




",UNKNOWN,,,,Continental Organization,,The Occult,Religious Order,
Trumpeteer of Rest,KNOWN,,,,Continental Organization,,The Occult,Secret Society,
Writhing Curiosity,KNOWN,,,,Continental Organization,,The Occult,Magical Society,
