Name,Alignment,Domains,Race,Symbol,Tags
"Melisseus, The Abundant Guardian",Neutral Good,"Abundance, Protection",,,Aetherian Ancient Titan
"Asteria, The Night Seer",Chaotic Good,"Night, Prophecy",,,Aetherian Ancient Titan
"Epimetheus,, The Beast Tamer",Chaotic Neutral,"Beast, Impulse",,,Aetherian Ancient Titan
"Aura, Titan of Freedom",Chaotic Neutral,"Air, Freedom",,,Aetherian Ancient Titan
"Anytus, Titan of Order",Lawful Neutral,"Nature, Order",,,Aetherian Ancient Titan
"Rhea, Titan of Life",Neutral Good,"Fertility, Life",,,Aetherian Ancient Titan
"Hoplodamus, Titan of Guardianship",Lawful Neutral,"Guardianship, War",,,Aetherian Ancient Titan
"Phoebe, The Visionary",Lawful Neutral,"Prophecy, Vision",,,Aetherian Ancient Titan
"Syceus, Titan of Growth",Chaotic Neutral,"Earth, Growth",,,Aetherian Ancient Titan
"Iapetus, The Doom Herald",Lawful Evil,"Doom, Mortality",,,Aetherian Ancient Titan
"Prometheus, The Sacrificed Creator",Chaotic Good,"Creation, Sacrifice",,,Aetherian Ancient Titan
"Themis, Titan of Justice",Lawful Good,"Justice, Law",,,Aetherian Ancient Titan
"Selene, The Dream",Neutral Good,"Dreams, Moon",,,Aetherian Ancient Titan
"Phorcys, Titan of Monsters",Lawful Neutral,"Monsters, Sea",,,Aetherian Ancient Titan
"Muses Elder, Titan of Inspiration",Neutral Good,"Inspiration, Music",,,Aetherian Ancient Titan
"Mylinus, Titan of Endurance",Chaotic Neutral,"Endurancve, Stone",,,Aetherian Ancient Titan
"Theia, Titan of Light",Neutral Good,"Light, Radiance",,,Aetherian Ancient Titan
"Pallas, Titan of Defense",Lawful Neutral,"Defense, War",,,Aetherian Ancient Titan
"Helios, Titan of Vitality",Neutral Good,"Sun, Vitality",,,Aetherian Ancient Titan
"Titan, Titan of the Harvest","True Neutral ","Agriculture, Stars",,,Aetherian Ancient Titan
"Crius, The War Strategist",Lawful Evil,"Conflict, Constellations",,,Aetherian Ancient Titan
"Adamus, The Earth Keeper",True Neutral,"Agriculture, Earth",,,Aetherian Ancient Titan
"Leto, The Graceful Mother",Neutral Good,"Grace, Motherhood",,,Aetherian Ancient Titan
"Eos, Titan of Light",Neutral Good,"Dawn, Light",,,Aetherian Ancient Titan
"Cronus, Titan of Time",Lawful Evil,"Harvest, Time",,,Aetherian Ancient Titan
"Astraeus, Titan of the Wind","True Neutral ","Stars, Wind",,,Aetherian Ancient Titan
"Coeus, Titan of Shadows",Neutral Evil,"Knowledge, Shadows",,,Aetherian Ancient Titan
"Gigantes, Titan of Chaos",Chaotic Neutral,"Chaos, Strength",,,Aetherian Ancient Titan
"Curetes, Titan of Trickery",Chaotic Neutral,"Trickery, War",,,Aetherian Ancient Titan
"Andes, Titan of Dawn","True Neutral ","Light, Renewal",,,Aetherian Ancient Titan
"Menoetius, Titan of Destruction",Chaotic Evil,"Destruction, Wrath",,,Aetherian Ancient Titan
"Tethys, Titan of Navigation",Neutral Good,"Navigation, Rivers",,,Aetherian Ancient Titan
"Clymene, The Deceptive Muse",Neutral Good,"Deception, Fame",,,Aetherian Ancient Titan
Eurybia. Titan of Storms,"True Neutral ","Sea, Storms",,,Aetherian Ancient Titan
"Hyperion, Titan of Knowledge"," Neutral Good","Knowledge, Light",,,Aetherian Ancient Titan
"Ostasus, The Timer","True Neutral ","Space, Time",,,Aetherian Ancient Titan
"Perses, Titan of Annihilation",Chaotic Evil,"Annihilation, Fire",,,Aetherian Ancient Titan
"Dione, The Life Seer",Neutral Good,"Life, Prophecy",,,Aetherian Ancient Titan
"Polus, Titan of Wisdom","True Neutral ","Knowledge, Stars",,,Aetherian Ancient Titan
"Eurynome, The Harmony",Neutral Good,"Harmony, Nature",,,Aetherian Ancient Titan
"Ophion, Titan of Creation","True Neutral ","Creation, Sky",,,Aetherian Ancient Titan
"Atlas, The Strength Bearer",Lawful Neutral,"Endurance, Strength",,,Aetherian Ancient Titan
"Megamedes, Titan of Strategy",Lawful Evil,"Command, Strategy",,,Aetherian Ancient Titan
"Olymbrus, Titan of the Sky",Lawful Neutral,"Sky, Time",,,Aetherian Ancient Titan
"Styx, Titan of Oaths",Lawful Neutral,"Death, Oaths",,,Aetherian Ancient Titan
"Mnemosyne, The Keeper of Memories",Lawful Neutral,"History, Memory",,,Aetherian Ancient Titan
"Anchiale, The Flame Artisan",Chaotic Neutral,"Craft, Fire",,,Aetherian Ancient Titan
"Olympus, The Storm",Chaotic Neutral,"Rebellion, Storms",,,Aetherian Ancient Titan
"Oceanus, Titan of Exploration",Lawful Neutral,"Exploration, Water",,,Aetherian Ancient Titan
"Lelantos, Titan of the Wild",Chaotic Neutral,"Stealth, Wilderness",,,Aetherian Ancient Titan
"Metis, The Wise Strategist",Chaotic Evil,"Strategy, Wisdom",,,Aetherian Ancient Titan
