Name,Alignment,Domains,Race,Symbol,Tags
"Velkora, The Flame Beyond Dawn",Chaotic Neutral,"Destruction, Rebirth Through Fire, Twilight Revelation",Phoenix,,Dreaming Gods
"Maelthra, Lord of the Timeless Howl",Neutral Evil,"Dimensional Rifts, Eternal Conflict, Shattered Minds",Howler,,Outer Gods
"Saeronis, The River of Secrets",Neutral Evil,"Cosmic Echoes, Dreams, Forgotten Knowledge",Night Hag,,Dreaming Gods
"Zarakhal, The Slumbering Core",Chaotic Neutral,"Primordial Chaos, Reality Shifting, Stellar Dreams",Star Spawn,,Outer Gods
"Urakh-Rynis, The Waiting Hunger",Chaotic Evil,"Dread, Paralysis, Predation of the Weak",Basilisk,,Dreaming Gods
"Tzarash, The Pale Guardian",Lawful Neutral,"Curses, Sacred Oaths, Temporal Guardianship",Ghost,,Dreaming Gods
"Horthonel, God of Fleeting Moments",Neutral,"Ephemera, Inspiration, Lost Time",Couatl,,Dreaming Gods
"Vaedoris, The Spear of Verdance",Chaotic Good,"Flourishin, Renewal, Wild Instinct",Dryad,,Dreaming Gods
"Moluth, The Living Womb",Chaotic Neutral,"Birth of Horrors, Burrowing, Endless Gestation",Spawn of Kyuss,,Outer Gods
"Thaun-Mirrath, The False Savior",Chaotic Evil,"False Hope, Imprisoned Power, Shapeshifting",Aboleth,,Outer Gods
"Aultheron, The Truth Incarnate",Lawful Evil,"Absolute Truth, Domination of Will, Puppeteering",Elder Brain,,Outer Gods
"M’roth and Theal-Koroth, The Twins",Chaotic Neutral,"Cosmic Collapse, Eternal Cycle, Unbound Potential",Elemental Myrmidons,,Outer Gods
"Kaelrath, The Burning Whisper",Chaotic Neutral,"Epiphany, Forbidden Illumination, Madness",Will-o’-Wisp,,Dreaming Gods
"Glaithonel, The Seven Eyes Between Worlds",Neutral,"Cosmic Voyages, Multiversal Sight, Veiled Perception",Beholder,,Outer Gods
"The Black Veil, Shroud of Cosmic Night",Neutral Evil,"Annihilation, Oblivion, Void Consumption",Shadow Demon,,Outer Gods
